"X","Y"
"4","-0.081"
"9","-0.102"
"14","-0.17"
"19","-0.03"
"24","0.036"
"29","-0.147"
"34","-0.068"
"39","0.026"
"44","-0.081"
"49","-0.156"
"54","-0.137"
"59","0.233"
"64","0.002"
"69","0.175"
"74","-0.457"
"79","0.466"
"84","-0.465"
"89","0.012"
"94","0.081"
"99","-0.499"
"104","-0.256"
"109","0.313"
"114","-0.068"
"119","-0.388"
"124","0.244"
"129","-0.167"
"134","-0.509"
"139","0.42"
"144","-0.14"
"150","-0.357"
"154","0.41"
"159","0.044"
"164","-0.119"
"169","0.233"
"174","-0.599"
"179","0.213"
"184","0.116"
"189","0.002"
"194","-0.026"
"199","0.068"
"204","-0.109"
"209","-0.095"
"214","-0.333"
"219","0.03"
"224","-0.264"
"229","0.012"
"234","-0.226"
"239","-0.06"
"244","0.282"
"249","-0.022"
"254","0.102"
"259","-0.112"
"264","-0.281"
"269","0.269"
"274","-0.344"
"279","0.438"
"284","0.293"
"289","-0.33"
"295","0.189"
"299","-0.002"
"304","-0.026"
"309","0.41"
"315","-0.13"
"320","0.32"
"325","-0.057"
"329","0.407"
"334","0.04"
"339","0.006"
"344","-0.184"
"349","0.095"
"354","0.424"
"359","-0.236"
"364","0.171"
"369","0.068"
"374","0.393"
"379","-0.036"
"384","0.044"
"389","-0.119"
"394","-0.112"
"399","-0.084"
"404","0.289"
"409","-0.174"
"414","0.199"
"419","0.036"
"424","0.241"
"429","-0.095"
"434","-0.06"
"439","-0.088"
"444","0.151"
"449","-0.016"
"454","0.006"
"459","0.019"
"464","0.05"
"469","-0.036"
"474","-0.008"
"479","0.109"
"484","-0.06"
"489","-0.032"
"494","0.03"
"499","0.123"
"504","-0.095"
"509","0.016"
"514","0.179"
"519","0.012"
"524","0"
"529","0.006"
"534","0.161"
"539","-0.019"
"545","-0.002"
"549","-0.205"
"554","0.372"
"559","0.026"
"564","0.036"
"569","0.179"
"574","-0.019"
"579","0.071"
"584","-0.088"
"589","-0.005"
"594","0.074"
"599","0.141"
"604","0.106"
"609","-0.032"
"614","0.057"
"619","-0.17"
"624","-0.102"
"629","-0.212"
"634","-0.057"
"639","0.199"
"644","-0.13"
"649","-0.078"
"654","-0.16"
"659","-0.002"
"664","-0.04"
"670","-0.423"
"675","0.102"
"680","-0.116"
"685","-0.002"
"690","0.137"
"694","0.036"
"699","-0.078"
"704","0.036"
"709","0.047"
"714","-0.026"
"719","0.033"
"724","0.106"
"729","-0.012"
"734","0.026"
"739","0.044"
"744","0.057"
"749","0.03"
"754","0.074"
"759","0"
"764","-0.032"
"769","0"
"774","0"
"779","0.081"
"784","0"
"789","0"
"794","0"
"799","0"
"804","0"
"809","-0.06"
"814","-0.016"
"819","-0.03"
"824","0"
"829","0"
"834","0"
"839","0"
"844","0.227"
"849","-0.156"
"854","0.054"
"859","-0.153"
"864","0.106"
"869","-0.205"
"874","0"
"879","-0.026"
"884","0"
"889","-0.298"
"894","-0.036"
"899","-0.109"
"904","0"
"909","0"
"914","-0.046"
"919","0.057"
